iter	Logloss
0	0.6571240308
1	0.6215229155
2	0.5924862041
3	0.5663579655
4	0.5363055095
5	0.5112103953
6	0.488625988
7	0.4629380312
8	0.4426429774
9	0.4240375977
10	0.4041829292
11	0.3851375035
12	0.3680472075
13	0.3518015572
14	0.3336350729
15	0.3195633914
16	0.3029220685
17	0.290843551
18	0.2754817146
19	0.2640140256
20	0.2533618989
21	0.2400954367
22	0.2295104182
23	0.2200211557
24	0.2099011955
25	0.2006363257
26	0.1923298417
27	0.1850434569
28	0.1791740421
29	0.1724661216
30	0.1656034623
31	0.1590130247
32	0.1525720491
33	0.1469236188
34	0.1402735359
35	0.1352051025
36	0.1303444838
37	0.1259095465
38	0.1217299332
39	0.1167698472
40	0.1119707694
41	0.1084809735
42	0.1045531239
43	0.1013615314
44	0.09836174404
45	0.09440109558
46	0.09144189819
47	0.08814831879
48	0.08547183974
49	0.08305394608
50	0.08083082366
51	0.07851650679
52	0.07631016794
53	0.07377024214
54	0.07181987195
55	0.06997838789
56	0.06782749883
57	0.06556772553
58	0.06399994471
59	0.06211264056
60	0.06071674185
61	0.05930364931
62	0.05809516759
63	0.05667635345
64	0.05508625451
65	0.05398240365
66	0.05271790938
67	0.05175692695
68	0.05049957054
69	0.04930212747
70	0.0480868196
71	0.04727420505
72	0.04650770838
73	0.04568334547
74	0.04484818377
75	0.04410012696
76	0.04343947467
77	0.04282686576
78	0.04195649452
79	0.04136753281
80	0.04073848432
81	0.04014073864
82	0.03944302602
83	0.03879358038
84	0.03833105569
85	0.03774666712
86	0.0373313113
87	0.03678700259
88	0.03633211316
89	0.03592629433
90	0.03531520804
91	0.03491277317
92	0.03440640247
93	0.03386346778
94	0.03349336327
95	0.03298675434
96	0.03271170841
97	0.03238907921
98	0.03197360215
99	0.03169017538
100	0.03125766985
101	0.03098109294
102	0.03060327067
103	0.03034091846
104	0.02998671662
105	0.0296682654
106	0.0293874937
107	0.02915168217
108	0.02897241672
109	0.028629311
110	0.02837513797
111	0.02816943432
112	0.02796545906
113	0.02776040638
114	0.02751334487
115	0.02726544433
116	0.02706001342
117	0.02694086682
118	0.02676535031
119	0.0265513074
120	0.02638769246
121	0.02621713856
122	0.02605305303
123	0.02591006003
124	0.02579074598
125	0.0255664312
126	0.0253608441
127	0.02519586657
128	0.0250590654
129	0.02491996028
130	0.02481260031
131	0.02461201212
132	0.02445080035
133	0.02432606121
134	0.02416945269
135	0.02401145794
136	0.02391471382
137	0.02381072644
138	0.02374393233
139	0.02361891663
